pref_name,city_name,year,month,building_count_A_Residence,floor_area_total,A_Residence_Area
埼玉県,さいたま市,2025,9,440.7,77551 ,63020 
埼玉県,西区,2025,9,44.3,6637 ,6340 
埼玉県,北区,2025,9,53.1,8067 ,7596 
埼玉県,大宮区,2025,9,37.4,6605 ,5350 
埼玉県,見沼区,2025,9,85.9,13217 ,12283 
埼玉県,中央区,2025,9,42.8,6166 ,6119 
埼玉県,桜区,2025,9,25.4,4425 ,3627 
埼玉県,浦和区,2025,9,62.7,9374 ,8960 
埼玉県,南区,2025,9,36,14738 ,5151 
埼玉県,緑区,2025,9,34,5535 ,4857 
埼玉県,岩槻区,2025,9,19.1,2787 ,2737 
埼玉県,川越市,2025,9,150,24267 ,21452 
埼玉県,熊谷市,2025,9,38.6,6521 ,5516 
埼玉県,川口市,2025,9,244.3,38080 ,34942 
埼玉県,行田市,2025,9,17,2500 ,2436 
埼玉県,秩父市,2025,9,9.5,1479 ,1358 
埼玉県,所沢市,2025,9,90.4,16652 ,12927 
埼玉県,飯能市,2025,9,36,5440 ,5147 
埼玉県,加須市,2025,9,42.5,127743 ,6078 
埼玉県,本庄市,2025,9,21.7,4153 ,3108 
埼玉県,東松山市,2025,9,31.7,5296 ,4540 
埼玉県,春日部市,2025,9,54,10779 ,7728 
埼玉県,狭山市,2025,9,36.7,7670 ,5243 
埼玉県,羽生市,2025,9,27.6,6383 ,3946 
埼玉県,鴻巣市,2025,9,43.3,6538 ,6186 
埼玉県,深谷市,2025,9,35.8,5247 ,5116 
埼玉県,上尾市,2025,9,87.7,22935 ,12540 
埼玉県,草加市,2025,9,62.3,10154 ,8912 
埼玉県,越谷市,2025,9,111.9,16731 ,16003 
埼玉県,蕨市,2025,9,36.7,5243 ,5243 
埼玉県,戸田市,2025,9,48.4,12650 ,6920 
埼玉県,入間市,2025,9,29.1,7370 ,4159 
埼玉県,朝霞市,2025,9,37.6,6579 ,5383 
埼玉県,志木市,2025,9,13.4,1923 ,1923 
埼玉県,和光市,2025,9,24.2,22618 ,3459 
埼玉県,新座市,2025,9,63.4,13070 ,9061 
埼玉県,桶川市,2025,9,28.9,4205 ,4132 
埼玉県,久喜市,2025,9,64.9,18086 ,9282 
埼玉県,北本市,2025,9,15.3,6556 ,2184 
埼玉県,八潮市,2025,9,34.1,5536 ,4875 
埼玉県,富士見市,2025,9,52.5,10912 ,7509 
埼玉県,三郷市,2025,9,24,4579 ,3428 
埼玉県,蓮田市,2025,9,10.9,1559 ,1559 
埼玉県,坂戸市,2025,9,22.4,3460 ,3209 
埼玉県,幸手市,2025,9,8.8,1694 ,1256 
埼玉県,鶴ヶ島市,2025,9,16.7,5213 ,2384 
埼玉県,日高市,2025,9,6.1,890 ,867 
埼玉県,吉川市,2025,9,19.9,4440 ,2840 
埼玉県,ふじみ野市,2025,9,69.9,11160 ,9999 
埼玉県,白岡市,2025,9,15.7,2251 ,2251 
埼玉県,北足立郡,2025,9,5.7,2165 ,819 
埼玉県,伊奈町,2025,9,5.7,2165 ,819 
埼玉県,入間郡,2025,9,13.9,1988 ,1988 
埼玉県,三芳町,2025,9,2.3,329 ,329 
埼玉県,毛呂山町,2025,9,11,1576 ,1576 
埼玉県,越生町,2025,9,0.6,83 ,83 
埼玉県,比企郡,2025,9,35.9,5226 ,5130 
埼玉県,滑川町,2025,9,12,1722 ,1722 
埼玉県,嵐山町,2025,9,6,914 ,859 
埼玉県,小川町,2025,9,4.3,617 ,617 
埼玉県,川島町,2025,9,7.4,1062 ,1062 
埼玉県,吉見町,2025,9,0.6,132 ,91 
埼玉県,鳩山町,2025,9,0.7,104 ,104 
埼玉県,ときがわ町,2025,9,4.7,675 ,675 
埼玉県,秩父郡,2025,9,3.8,1236 ,547 
埼玉県,横瀬町,2025,9,1.7,352 ,244 
埼玉県,皆野町,2025,9,1.7,393 ,247 
埼玉県,長瀞町,2025,9,0,435 ,0 
埼玉県,小鹿野町,2025,9,0.4,56 ,56 
埼玉県,児玉郡,2025,9,14.5,2272 ,2072 
埼玉県,美里町,2025,9,1.8,318 ,252 
埼玉県,神川町,2025,9,2.6,416 ,366 
埼玉県,上里町,2025,9,10.2,1538 ,1454 
埼玉県,大里郡,2025,9,9.3,1409 ,1327 
埼玉県,寄居町,2025,9,9.3,1409 ,1327 
埼玉県,南埼玉郡,2025,9,6.5,1185 ,931 
埼玉県,宮代町,2025,9,6.5,1185 ,931 
埼玉県,北葛飾郡,2025,9,7.9,1715 ,1128 
埼玉県,杉戸町,2025,9,5.7,1309 ,821 
埼玉県,松伏町,2025,9,2.1,406 ,307 
千葉県,千葉市,2025,9,251.3,47617 ,33425 
千葉県,中央区,2025,9,67.8,9754 ,9015 
千葉県,花見川区,2025,9,59.2,8151 ,7875 
千葉県,稲毛区,2025,9,40.7,5768 ,5410 
千葉県,若葉区,2025,9,33.6,13474 ,4467 
千葉県,緑区,2025,9,40.8,5431 ,5431 
千葉県,美浜区,2025,9,9.2,5039 ,1227 
千葉県,銚子市,2025,9,5.3,835 ,699 
千葉県,市川市,2025,9,139.2,19327 ,18508 
千葉県,船橋市,2025,9,220.8,31801 ,29364 
千葉県,館山市,2025,9,8.1,1685 ,1075 
千葉県,木更津市,2025,9,56.6,7949 ,7529 
千葉県,松戸市,2025,9,197.4,28505 ,26252 
千葉県,野田市,2025,9,48.7,7074 ,6482 
千葉県,茂原市,2025,9,19.3,3093 ,2566 
千葉県,成田市,2025,9,45,6073 ,5989 
千葉県,佐倉市,2025,9,58,8281 ,7719 
千葉県,東金市,2025,9,5.6,1112 ,749 
千葉県,旭市,2025,9,19.8,3034 ,2636 
千葉県,習志野市,2025,9,28.6,4926 ,3804 
千葉県,柏市,2025,9,195.2,30164 ,25960 
千葉県,勝浦市,2025,9,2.5,329 ,329 
千葉県,市原市,2025,9,106.9,17667 ,14217 
千葉県,流山市,2025,9,100.4,13567 ,13355 
千葉県,八千代市,2025,9,54.2,7657 ,7215 
千葉県,我孫子市,2025,9,50.4,7592 ,6699 
千葉県,鴨川市,2025,9,5.4,1063 ,719 
千葉県,鎌ヶ谷市,2025,9,38.6,6390 ,5140 
千葉県,君津市,2025,9,14.8,2872 ,1964 
千葉県,富津市,2025,9,6.7,952 ,897 
千葉県,浦安市,2025,9,44,6006 ,5851 
千葉県,四街道市,2025,9,40.3,5830 ,5359 
千葉県,袖ヶ浦市,2025,9,36.1,5099 ,4803 
千葉県,八街市,2025,9,13.4,4133 ,1782 
千葉県,印西市,2025,9,37,7767 ,4917 
千葉県,白井市,2025,9,32.2,5298 ,4285 
千葉県,富里市,2025,9,34.4,4748 ,4579 
千葉県,南房総市,2025,9,6.5,932 ,864 
千葉県,匝瑳市,2025,9,4.9,652 ,652 
千葉県,香取市,2025,9,18.1,3862 ,2406 
千葉県,山武市,2025,9,3.1,510 ,406 
千葉県,いすみ市,2025,9,9.1,1372 ,1211 
千葉県,大網白里市,2025,9,16.7,2219 ,2219 
千葉県,印旛郡,2025,9,16.3,2166 ,2166 
千葉県,酒々井町,2025,9,13,1733 ,1733 
千葉県,栄町,2025,9,3.3,433 ,433 
千葉県,香取郡,2025,9,7.4,1480 ,987 
千葉県,神崎町,2025,9,0,97 ,0 
千葉県,多古町,2025,9,2.4,315 ,315 
千葉県,東庄町,2025,9,5.1,1068 ,672 
千葉県,山武郡,2025,9,8.5,1242 ,1136 
千葉県,九十九里町,2025,9,3.5,464 ,464 
千葉県,芝山町,2025,9,4.2,659 ,553 
千葉県,横芝光町,2025,9,0.9,119 ,119 
千葉県,長生郡,2025,9,14.3,1998 ,1903 
千葉県,一宮町,2025,9,8,1099 ,1060 
千葉県,睦沢町,2025,9,1.8,245 ,245 
千葉県,長生村,2025,9,1.6,208 ,208 
千葉県,白子町,2025,9,2.5,330 ,330 
千葉県,長南町,2025,9,0.5,116 ,60 
千葉県,夷隅郡,2025,9,2.9,381 ,381 
千葉県,大多喜町,2025,9,0.8,112 ,112 
千葉県,御宿町,2025,9,2,269 ,269 
千葉県,安房郡,2025,9,1.3,174 ,174 
千葉県,鋸南町,2025,9,1.3,174 ,174 
東京都,千代田区,2025,9,17.9,14688 ,3527 
東京都,中央区,2025,9,4.4,5302 ,864 
東京都,港区,2025,9,45.7,327279 ,9001 
東京都,新宿区,2025,9,88.5,28330 ,17437 
東京都,文京区,2025,9,56.7,13902 ,11171 
東京都,台東区,2025,9,37.1,34049 ,7315 
東京都,墨田区,2025,9,66.2,16593 ,13033 
東京都,江東区,2025,9,87.8,21948 ,17288 
東京都,品川区,2025,9,71.1,19922 ,14008 
東京都,目黒区,2025,9,70,14246 ,13781 
東京都,大田区,2025,9,120.9,29174 ,23817 
東京都,世田谷区,2025,9,197.9,43188 ,38988 
東京都,渋谷区,2025,9,46,26307 ,9056 
東京都,中野区,2025,9,47.1,9454 ,9286 
東京都,杉並区,2025,9,142,32843 ,27983 
東京都,豊島区,2025,9,44.7,10982 ,8813 
東京都,北区,2025,9,67.3,23414 ,13260 
東京都,荒川区,2025,9,77.1,18930 ,15188 
東京都,板橋区,2025,9,103.6,23678 ,20408 
東京都,練馬区,2025,9,137.6,27862 ,27114 
東京都,足立区,2025,9,212.2,48656 ,41806 
東京都,葛飾区,2025,9,139.7,30091 ,27518 
東京都,江戸川区,2025,9,119,28613 ,23442 
東京都,八王子市,2025,9,131.7,27644 ,25952 
東京都,立川市,2025,9,37.2,11796 ,7325 
東京都,武蔵野市,2025,9,37.5,9744 ,7381 
東京都,三鷹市,2025,9,40,9059 ,7876 
東京都,青梅市,2025,9,15.9,3264 ,3128 
東京都,府中市,2025,9,54.1,19994 ,10664 
東京都,昭島市,2025,9,46,9614 ,9056 
東京都,調布市,2025,9,32.1,30578 ,6317 
東京都,町田市,2025,9,76.4,18260 ,15057 
東京都,小金井市,2025,9,138.2,27235 ,27235 
